"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 13 21:52:46 GMT 2023","Thu Apr 13 21:52:48 GMT 2023","2059","test","test_conduit","Test11ConduitFunction","","","Adatlementés ellenőrzése",""
"passed","Thu Apr 13 21:52:20 GMT 2023","Thu Apr 13 21:52:23 GMT 2023","2989","test","test_conduit","Test11ConduitFunction","","","Új adat bevitel",""
"passed","Thu Apr 13 21:51:59 GMT 2023","Thu Apr 13 21:52:00 GMT 2023","950","test","test_conduit","Test11ConduitFunction","","","Sikertelen regisztrációs kisérlet - jelszó nélkül",""
"passed","Thu Apr 13 21:52:01 GMT 2023","Thu Apr 13 21:52:04 GMT 2023","2549","test","test_conduit","Test11ConduitFunction","","","Regisztráció - fix (még nem regisztrált) adatokkal",""
"passed","Thu Apr 13 21:52:24 GMT 2023","Thu Apr 13 21:52:31 GMT 2023","6997","test","test_conduit","Test11ConduitFunction","","","Sorozatos adatbevitel csv fájlból",""
"passed","Thu Apr 13 21:52:09 GMT 2023","Thu Apr 13 21:52:11 GMT 2023","2568","test","test_conduit","Test11ConduitFunction","","","Belépés sikerességének ellenőrzése navbar menu elemszámával, a ""Log out"" gomb meglétével",""
"passed","Thu Apr 13 21:52:50 GMT 2023","Thu Apr 13 21:52:52 GMT 2023","2540","test","test_conduit","Test11ConduitFunction","","","Kilépés sikerességének ellenőrzése",""
"passed","Thu Apr 13 21:52:05 GMT 2023","Thu Apr 13 21:52:08 GMT 2023","2487","test","test_conduit","Test11ConduitFunction","","","Regisztráció - Míg sikeres nem lesz (ha a próbált felhasználónév már foglalt lenne)",""
"passed","Thu Apr 13 21:52:17 GMT 2023","Thu Apr 13 21:52:19 GMT 2023","1617","test","test_conduit","Test11ConduitFunction","","","Több oldalas lista bejárása",""
"passed","Thu Apr 13 21:52:33 GMT 2023","Thu Apr 13 21:52:35 GMT 2023","2901","test","test_conduit","Test11ConduitFunction","","","Meglévő adat módosítás",""
"passed","Thu Apr 13 21:52:37 GMT 2023","Thu Apr 13 21:52:45 GMT 2023","8492","test","test_conduit","Test11ConduitFunction","","","Új cikk felvétele és törlése",""
"passed","Thu Apr 13 21:52:14 GMT 2023","Thu Apr 13 21:52:16 GMT 2023","1595","test","test_conduit","Test11ConduitFunction","","","Adatok listázásának ellenőrzése",""
"passed","Thu Apr 13 21:52:13 GMT 2023","Thu Apr 13 21:52:13 GMT 2023","352","test","test_conduit","Test11ConduitFunction","","","Cookie policy - ""I accept!"" gombfelírat ellenőrzése",""
